Customer ID,First Purchase,Last Purchase,Total Visits,Total Spent,Avg Spend/Visit,Favorite Product,Days Active,Recency (Days),Segment,Priority
ANON-0000-0000-0001,01-Mar-2024,6-Jun-2024,17, R646.14 , R38.01 ,Latte,98,290,Occasional,LOW
ANON-0000-0000-0002,01-Mar-2024,1-Mar-2024,2, R77.40 , R38.70 ,Hot Chocolate,1,387,At Risk,LOW
ANON-0000-0000-0003,01-Mar-2024,18-Oct-2024,31, R867.48 , R27.98 ,Americano,232,156,Occasional,LOW
ANON-0000-0000-0004,01-Mar-2024,4-Oct-2024,12, R371.30 , R30.94 ,Americano with Milk,218,170,Occasional,LOW
ANON-0000-0000-0005,01-Mar-2024,1-Mar-2024,1, R33.80 , R33.80 ,Americano with Milk,1,387,At Risk,LOW
ANON-0000-0000-0006,01-Mar-2024,1-Mar-2024,1, R38.70 , R38.70 ,Hot Chocolate,1,387,At Risk,LOW
ANON-0000-0000-0007,01-Mar-2024,1-Mar-2024,1, R33.80 , R33.80 ,Americano with Milk,1,387,At Risk,LOW
ANON-0000-0000-0008,01-Mar-2024,1-Mar-2024,2, R72.50 , R36.25 ,Cocoa,1,387,At Risk,LOW
ANON-0000-0000-0009,01-Mar-2024,10-Aug-2024,67," R2,343.98 ", R34.98 ,Latte,163,225,Occasional,LOW
ANON-0000-0000-0010,02-Mar-2024,2-Mar-2024,1, R28.90 , R28.90 ,Americano,1,386,At Risk,LOW
ANON-0000-0000-0011,02-Mar-2024,2-Mar-2024,1, R33.80 , R33.80 ,Americano with Milk,1,386,At Risk,LOW
ANON-0000-0000-0012,02-Mar-2024,20-Jan-2025,129," R3,785.92 ", R29.35 ,Americano,325,62,Regular,MEDIUM
ANON-0000-0000-0013,02-Mar-2024,2-Mar-2024,1, R28.90 , R28.90 ,Americano,1,386,At Risk,LOW
ANON-0000-0000-0014,02-Mar-2024,2-Mar-2024,1, R33.80 , R33.80 ,Americano with Milk,1,386,At Risk,LOW
